Name,City Area,Price For Two,Ratings,Tags,Link
Ao 26 Vegan Food Project,Chiado,40.0,4.6,"Vegetarian, Healthy Food, Vegan",https://www.zomato.com/grande-lisboa/ao-26-vegan-food-project-chiado-lisboa/info
TOPO Chiado,Chiado,45.0,4.0,"Beverages, Pizza, Burger, Finger Food",https://www.zomato.com/grande-lisboa/topo-chiado-chiado-lisboa/info
Kaffeehaus,Chiado,30.0,4.3,"Austrian, Cafe, Desserts, Finger Food",https://www.zomato.com/grande-lisboa/kaffeehaus-chiado-lisboa/info
To.B,Chiado,25.0,4.2,Burger,https://www.zomato.com/grande-lisboa/to-b-chiado-lisboa/info
Sea Me - Peixaria Moderna,Chiado,70.0,4.5,"Fresh Fish, Seafood, Japanese, Fusion",https://www.zomato.com/grande-lisboa/sea-me-peixaria-moderna-chiado-lisboa/info
La Brasserie de L'Entrecôte,Chiado,65.0,4.6,"Grill, French",https://www.zomato.com/grande-lisboa/la-brasserie-de-lentrecôte-chiado-lisboa/info
Royale Café,Chiado,40.0,4.3,"Portuguese, Fusion, Mediterranean",https://www.zomato.com/grande-lisboa/royale-café-chiado-lisboa/info
Café Buenos Aires,Chiado,50.0,4.2,"Argentine, Fusion, Beverages",https://www.zomato.com/grande-lisboa/café-buenos-aires-chiado-lisboa/info
Casinha Boutique Café,Chiado,12.0,3.7,"Cafe, Finger Food, Healthy Food, Desserts, Crepes",https://www.zomato.com/grande-lisboa/casinha-boutique-café-chiado-lisboa/info
Ohana by Naz,Parque das Nações,30.0,4.4,"Healthy Food, Vegetarian",https://www.zomato.com/grande-lisboa/ohana-by-naz-parque-das-nações-lisboa/info
Zero Zero - Parque das Nações,Parque das Nações,50.0,4.3,"Pizza, Italian",https://www.zomato.com/grande-lisboa/zero-zero-parque-das-nações-parque-das-nações-lisboa/info
O Clube do Hambúrguer,Parque das Nações,25.0,4.2,"Burger, Tapas",https://www.zomato.com/grande-lisboa/o-clube-do-hambúrguer-parque-das-nações-lisboa/info
Forneria,Parque das Nações,30.0,4.3,"Italian, Pizza",https://www.zomato.com/grande-lisboa/forneria-parque-das-nações-lisboa/info
Honest Greens,Parque das Nações,25.0,4.4,"Healthy Food, Finger Food",https://www.zomato.com/grande-lisboa/honest-greens-parque-das-nações-lisboa/info
Arigato - Parque das Nações,Parque das Nações,50.0,4.2,"Japanese, Fusion, Sushi",https://www.zomato.com/grande-lisboa/arigato-parque-das-nações-parque-das-nações-lisboa/info
