Name,City Area,Price For Two,Ratings,Tags,Link
Boa-Bao,Chiado,48.0,4.7,"Oriental, Tailandesa, Malaia, Filipina, Vietnamita, Coreana, Japonesa, Chinesa",https://www.zomato.com/pt/boabao/info
Páteo - Bairro do Avillez,Chiado,50.0,4.5,"Portuguesa, Mediterrânica, Marisqueira, Peixe fresco",https://www.zomato.com/pt/grande-lisboa/páteo-bairro-do-avillez-chiado-lisboa/info
Ao 26 Vegan Food Project,Chiado,40.0,4.7,"Vegetariana, Comida saudável, Vegan",https://www.zomato.com/pt/grande-lisboa/ao-26-vegan-food-project-chiado-lisboa/info
Cantinho do Avillez,Chiado,80.0,4.6,"Portuguesa, Autor",https://www.zomato.com/pt/cantinhodoavillez/info
TOPO Chiado,Chiado,45.0,4.0,"Bebidas, Pizza, Hamburgueria, Snacks",https://www.zomato.com/pt/grande-lisboa/topo-chiado-chiado-lisboa/info
By The Wine,Chiado,40.0,4.5,"Bebidas, Petiscos",https://www.zomato.com/pt/grande-lisboa/by-the-wine-chiado-lisboa/info
Peixola,Chiado,45.0,4.5,"Peixe fresco, Mediterrânica, Contemporânea",https://www.zomato.com/pt/grande-lisboa/peixola-chiado-lisboa/info
To.B,Chiado,25.0,4.2,Hamburgueria,https://www.zomato.com/pt/grande-lisboa/to-b-chiado-lisboa/info
Sacramento,Chiado,50.0,4.6,"Portuguesa, Bebidas",https://www.zomato.com/pt/grande-lisboa/sacramento-chiado-lisboa/info
Butchers,Parque das Nações,40.0,4.5,"Bifes, Hamburgueria, Grelhados",https://www.zomato.com/pt/grande-lisboa/butchers-parque-das-nações-lisboa/info
The Old House,Parque das Nações,60.0,4.6,Chinesa,https://www.zomato.com/pt/grande-lisboa/the-old-house-parque-das-nações-lisboa/info
Cartel 36,Parque das Nações,50.0,4.4,"Contemporânea, Portuguesa",https://www.zomato.com/pt/grande-lisboa/cartel-36-parque-das-nações-lisboa/info
The Club Steakhouse,Parque das Nações,50.0,4.2,"Bifes, Grelhados, Hamburgueria",https://www.zomato.com/pt/grande-lisboa/the-club-steakhouse-parque-das-nações-lisboa/info
Ohana by Naz,Parque das Nações,30.0,4.4,"Comida saudável, Vegetariana",https://www.zomato.com/pt/grande-lisboa/ohana-by-naz-parque-das-nações-lisboa/info
Zero Zero - Parque das Nações,Parque das Nações,50.0,4.3,"Pizza, Italiana",https://www.zomato.com/pt/grande-lisboa/zero-zero-parque-das-nações-parque-das-nações-lisboa/info
SushiNow,Parque das Nações,45.0,4.5,"Japonesa, Sushi",https://www.zomato.com/pt/grande-lisboa/sushinow-parque-das-nações-lisboa/info
O Clube do Hambúrguer,Parque das Nações,45.0,4.2,"Hamburgueria, Tapas",https://www.zomato.com/pt/grande-lisboa/o-clube-do-hambúrguer-parque-das-nações-lisboa/info
Forneria,Parque das Nações,30.0,4.3,"Italiana, Pizza",https://www.zomato.com/pt/grande-lisboa/forneria-parque-das-nações-lisboa/info
Sala de Corte,Cais do Sodré,60.0,4.6,Bifes,https://www.zomato.com/pt/SalaDeCorte/info
SOI,Cais do Sodré,45.0,4.3,"Chinesa, Oriental, Japonesa, Vietnamita, Coreana, Indiana, Tailandesa",https://www.zomato.com/pt/grande-lisboa/soi-cais-do-sodré-lisboa/info
Las Ficheras,Cais do Sodré,40.0,4.1,"Mexicana, Bebidas",https://www.zomato.com/pt/grande-lisboa/las-ficheras-cais-do-sodré-lisboa/info
Segundo Muelle,Cais do Sodré,50.0,4.6,Peruana,https://www.zomato.com/pt/grande-lisboa/segundo-muelle-cais-do-sodré-lisboa/info
Orteá - Vegan Collective,Cais do Sodré,30.0,4.5,"Vegetariana, Sobremesa, Snacks",https://www.zomato.com/pt/grande-lisboa/orteá-vegan-collective-cais-do-sodré-lisboa/info
Confraria LX - LX Boutique Hotel,Cais do Sodré,50.0,4.5,"Japonesa, Tapas, Sushi",https://www.zomato.com/pt/grande-lisboa/confraria-lx-lx-boutique-hotel-cais-do-sodré-lisboa/info
Bohemio da Ribeira,Cais do Sodré,45.0,4.5,"Bifes, Petiscos, Contemporânea",https://www.zomato.com/pt/grande-lisboa/bohemio-da-ribeira-cais-do-sodré-lisboa/info
Trópico do Cais,Cais do Sodré,30.0,4.4,"Sul Americana, Oriental, Petiscos, Bebidas, Comida saudável, Mediterrânica",https://www.zomato.com/pt/grande-lisboa/trópico-do-cais-cais-do-sodré-lisboa/info
Guacamole - GMG,Cais do Sodré,25.0,4.2,"Mexicana, Gourmet fast food",https://www.zomato.com/pt/grande-lisboa/guacamole-gmg-cais-do-sodré-lisboa/info
Atalho Real,Príncipe Real,45.0,4.6,"Bifes, Hamburgueria",https://www.zomato.com/pt/grande-lisboa/atalho-real-príncipe-real-lisboa/info
